DeliveryPersonAge,DeliveryPersonRatings,TimeOrdered,TimeOrderPickedUp,WeatherCondition,RoadTrafficDensity,VehicleCondition,TypeOfOrder,VehicleType,MultipleDeliveries,City,Distance(km)
26,4.2,19.55,20.1,Stormy,Jam,0,Buffet,Motorcycle,1.0,Metropolitan,13.681416111912892
23,4.5,21.1,21.25,Sunny,Jam,1,Meal,Scooter,1.0,Metropolitan,7.771834302405086
23,4.9,11.15,11.2,Windy,High,1,Meal,Scooter,0.0,Metropolitan,1.5545625412407003
25,4.9,23.45,23.5,Sandstorms,Low,1,Buffet,Motorcycle,0.0,Metropolitan,10.569597346528383
27,4.9,23.25,23.3,Stormy,Low,0,Buffet,Motorcycle,1.0,Metropolitan,16.636875038860897
33,4.3,19.1,19.15,Cloudy,Jam,2,Drinks,ElectricScooter,0.0,Metropolitan,19.839448163880707
30,5.0,22.55,23.1,Sunny,Low,1,Snack,Scooter,1.0,Urban,12.29378731203682
23,4.7,10.25,10.4,Sandstorms,Low,1,Buffet,Scooter,1.0,Urban,1.558114851289754
35,4.2,20.15,20.2,Stormy,Jam,2,Drinks,Motorcycle,1.0,Metropolitan,10.881431823102778
32,3.8,19.35,19.4,Windy,Jam,2,Drinks,Motorcycle,0.0,Metropolitan,16.72059667667709
39,4.8,19.5,19.6,Sunny,Jam,2,Buffet,Scooter,1.0,Metropolitan,14.022096082518878
37,4.4,13.5,13.55,Windy,High,0,Buffet,Motorcycle,2.0,Metropolitan,6.21086415606354
20,4.9,13.6,14.1,Windy,High,0,Drinks,Motorcycle,1.0,Metropolitan,6.217860329667253
21,4.9,20.5,20.55,Stormy,Jam,2,Drinks,Scooter,1.0,Metropolitan,17.09838855662463
25,4.6,23.15,23.25,Sunny,Low,0,Buffet,Motorcycle,0.0,Metropolitan,9.055981117924203
36,4.5,23.5,23.55,Stormy,Low,1,Drinks,Scooter,0.0,Urban,13.968842021961057
25,4.8,22.4,22.5,Cloudy,Low,0,Buffet,Motorcycle,1.0,Metropolitan,9.313691518325752
30,4.6,19.35,19.4,Sunny,Jam,1,Snack,Motorcycle,1.0,Metropolitan,7.6016147383215875
36,4.6,19.35,19.45,Windy,Jam,1,Snack,Scooter,1.0,Metropolitan,9.315702005351538
34,4.8,20.35,20.5,Sunny,Jam,1,Drinks,Scooter,0.0,Metropolitan,9.314907489514157
39,4.6,17.15,17.3,Stormy,Medium,2,Snack,ElectricScooter,0.0,Metropolitan,9.19151681625338
31,4.6,14.2,14.3,Windy,High,1,Drinks,Scooter,1.0,Metropolitan,6.120941769502897
38,4.9,17.3,17.35,Windy,Medium,0,Meal,Motorcycle,1.0,Metropolitan,19.617929437389435
34,4.6,8.45,8.5,Stormy,Low,2,Drinks,Motorcycle,0.0,Metropolitan,3.0251533668867396
24,4.7,18.1,18.15,Cloudy,Medium,2,Buffet,Scooter,0.0,Semi-Urban,4.560783589287684
21,4.8,17.15,17.25,Sandstorms,Medium,0,Drinks,Motorcycle,1.0,Metropolitan,16.368443538636935
20,4.1,10.4,10.45,Stormy,Low,0,Snack,Motorcycle,1.0,Metropolitan,3.1162485097900614
22,4.7,22.1,22.15,Sandstorms,Low,1,Drinks,Scooter,0.0,Urban,4.657651549280329
22,5.0,8.15,8.3,Fog,Low,0,Meal,Motorcycle,0.0,Metropolitan,3.105144913226864
37,4.9,20.45,20.55,Cloudy,Jam,0,Drinks,Motorcycle,1.0,Metropolitan,7.64610474832152
39,4.6,10.55,10.6,Fog,Low,0,Drinks,Motorcycle,1.0,Metropolitan,3.058924545938562
20,4.9,21.6,22.1,Sandstorms,Jam,2,Meal,Motorcycle,0.0,Urban,7.600994631258686
22,4.6,23.2,23.25,Fog,Low,2,Snack,ElectricScooter,1.0,Metropolitan,9.193520993944183
28,4.7,23.5,23.55,Sandstorms,Low,1,Meal,Motorcycle,1.0,Urban,10.711185800959658
36,5.0,19.15,19.2,Windy,Jam,0,Drinks,Motorcycle,1.0,Metropolitan,19.975520086221444
28,4.9,15.35,15.5,Sandstorms,Medium,2,Snack,ElectricScooter,1.0,Metropolitan,6.1198667120156145
27,4.9,22.15,22.3,Sandstorms,Low,2,Snack,Scooter,1.0,Metropolitan,12.421407858787804
22,4.6,21.35,21.45,Cloudy,Jam,0,Drinks,Motorcycle,2.0,Metropolitan,19.916274899797408
39,4.8,10.55,11.05,Fog,Low,1,Meal,Motorcycle,0.0,Urban,1.5321262845594088
23,4.7,19.3,19.4,Sunny,Jam,1,Buffet,Scooter,0.0,Metropolitan,16.85361872985359
30,4.7,16.45,16.6,Cloudy,Medium,1,Snack,Scooter,1.0,Semi-Urban,6.058848944530401
34,5.0,11.45,11.5,Windy,High,0,Buffet,Motorcycle,1.0,Urban,1.536864059415262
30,4.5,19.15,19.25,Sunny,Jam,1,Snack,Motorcycle,1.0,Metropolitan,16.901690663165983
24,5.0,21.4,21.5,Sandstorms,Jam,1,Buffet,Scooter,0.0,Metropolitan,14.0453730484291
30,4.5,17.25,17.4,Sunny,Medium,1,Drinks,Motorcycle,1.0,Metropolitan,8.929090496038414
29,4.9,19.6,20.1,Sandstorms,Jam,2,Drinks,Scooter,1.0,Urban,9.326827803405624
24,4.7,22.2,22.25,Fog,Low,0,Meal,Motorcycle,1.0,Semi-Urban,13.58308621493501
26,4.2,13.2,13.3,Sunny,High,0,Buffet,Motorcycle,1.0,Metropolitan,6.0504060616582525
29,4.8,16.55,16.6,Stormy,Medium,2,Drinks,Scooter,0.0,Urban,5.960265171500215
39,4.1,21.6,22.05,Windy,Jam,0,Drinks,Motorcycle,1.0,Urban,19.761110067714096
21,4.6,17.4,17.5,Sunny,Medium,0,Drinks,Motorcycle,1.0,Urban,14.021726512881596
23,5.0,23.5,24.05,Stormy,Low,1,Snack,Scooter,1.0,Metropolitan,10.924508385005714
22,4.6,14.45,14.6,Fog,High,0,Drinks,Motorcycle,1.0,Metropolitan,6.209476177667662
32,4.1,22.3,22.45,Stormy,Low,0,Buffet,Motorcycle,1.0,Metropolitan,4.610133887452835
31,4.8,23.55,24.1,Fog,Low,2,Meal,Scooter,1.0,Metropolitan,4.469351491411031
38,4.4,20.55,21.1,Windy,Jam,1,Meal,Motorcycle,1.0,Urban,13.968990746015168
39,4.1,21.4,21.55,Stormy,Jam,0,Buffet,Motorcycle,1.0,Metropolitan,16.601408334261674
20,5.0,23.2,23.3,Stormy,Low,2,Snack,Motorcycle,1.0,Metropolitan,9.313449926160661
20,4.6,23.55,24.1,Fog,Low,0,Snack,Motorcycle,1.0,Metropolitan,13.682504886916606
39,5.0,19.6,20.05,Cloudy,Jam,1,Meal,Scooter,0.0,Metropolitan,7.490187108752871
24,4.8,23.45,23.55,Fog,Low,2,Meal,Scooter,1.0,Metropolitan,10.5652785705811
23,4.9,10.6,11.1,Stormy,Low,1,Meal,Motorcycle,0.0,Metropolitan,1.558137239175215
37,4.9,23.45,23.5,Cloudy,Low,0,Buffet,Motorcycle,2.0,Urban,11.917100051488791
27,4.8,17.5,17.55,Stormy,Medium,1,Snack,Scooter,1.0,Semi-Urban,4.5405743887312955
22,4.6,23.25,23.35,Fog,Low,2,Meal,Scooter,0.0,Metropolitan,7.60136893811491
34,4.6,23.5,23.55,Sunny,Low,2,Snack,Scooter,0.0,Metropolitan,16.601240146481178
24,4.8,17.45,17.55,Fog,Medium,2,Snack,ElectricScooter,0.0,Urban,8.93778311563518
27,4.8,23.45,23.55,Sandstorms,Low,2,Snack,Motorcycle,1.0,Urban,19.041522215513627
30,4.2,18.5,18.6,Sandstorms,Medium,0,Buffet,Motorcycle,1.0,Metropolitan,20.182482607604513
34,4.8,23.1,23.2,Fog,Low,2,Meal,Motorcycle,0.0,Metropolitan,10.565179206181444
27,4.9,20.1,20.25,Windy,Jam,2,Snack,Motorcycle,1.0,Metropolitan,9.326651352175272
27,4.9,20.35,20.45,Stormy,Jam,0,Meal,Motorcycle,1.0,Metropolitan,4.5384079078628705
34,4.4,9.5,10.05,Stormy,Low,0,Drinks,Motorcycle,0.0,Metropolitan,3.108983787513406
38,4.7,22.3,22.35,Sunny,Low,0,Drinks,Motorcycle,1.0,Metropolitan,9.121796528794311
36,4.8,20.4,20.55,Fog,Jam,1,Drinks,Motorcycle,1.0,Metropolitan,7.546712474612512
21,4.7,21.1,21.25,Fog,Jam,2,Buffet,ElectricScooter,0.0,Metropolitan,7.450185408246093
