DeliveryPersonAge,DeliveryPersonRatings,RestaurantLatitude,RestaurantLongitude,DeliveryLocationLatitude,DeliveryLocationLongitude,TimeOrdered,TimeOrderPickedUp,WeatherCondition,RoadTrafficDensity,VehicleCondition,TypeOfOrder,VehicleType,MultipleDeliveries,City,TimeTaken(min)
37,4.9,22.745049,75.892471,22.765049,75.912471,11:30,11:45,4,0,2,3,3,0.0,3,24.0
34,4.5,12.913041,77.683237,13.043041,77.813237,19:45,19:50,3,1,2,3,4,1.0,1,33.0
37,4.4,12.913041,77.683237,12.953041,77.723237,13:50,13:55,6,0,0,0,3,2.0,1,42.0
28,4.9,17.431477,78.40035,17.451477,78.42035,10:60,11:15,2,2,1,2,4,1.0,3,19.0
37,4.6,23.359407,85.325055,23.429407,85.395055,23:50,23:60,3,2,0,2,3,1.0,1,25.0
20,4.7,12.970221,77.645396,13.100221,77.775396,17:60,18:10,4,3,1,1,4,0.0,1,14.0
32,4.8,25.451646,81.832796,25.581646,81.962796,22:15,22:25,3,2,2,0,4,1.0,4,29.0
34,5.0,11.008638,76.984311,11.078638,77.054311,18:30,18:45,2,3,1,0,3,1.0,3,22.0
37,4.6,26.471529,80.313458,26.501529,80.343458,17:50,17:60,1,3,0,0,3,1.0,1,28.0
24,4.8,26.90294,75.793007,26.94294,75.833007,13:20,13:25,6,0,2,2,2,0.0,3,12.0
23,4.4,12.914264,77.6784,12.924264,77.6884,8:30,8:45,2,2,0,1,3,1.0,3,26.0
23,4.2,22.310526,73.170937,22.380526,73.240937,18:50,18:55,3,3,0,0,3,1.0,3,35.0
34,4.8,11.003008,76.97544,11.093008,77.06544,23:55,23:60,3,2,2,2,2,1.0,1,27.0
22,4.7,18.530963,73.828972,18.560963,73.858972,23:35,23:40,4,2,2,1,4,0.0,4,22.0
21,5.0,0.0,0.0,0.03,0.03,17:35,17:45,1,3,0,3,3,0.0,1,20.0
27,4.9,26.910262,75.783013,27.000262,75.873013,22:25,22:30,1,2,1,2,3,0.0,1,29.0
29,4.7,26.846156,75.8023,26.936156,75.8923,23:15,23:30,2,2,2,3,4,1.0,1,14.0
20,4.9,30.328174,78.049117,30.398174,78.119117,22:25,22:30,2,2,2,1,2,0.0,3,15.0
35,4.3,17.41233,78.449654,17.45233,78.489654,14:55,14:60,6,0,1,3,3,1.0,4,34.0
38,4.6,12.310972,76.659264,12.390972,76.739264,22:10,22:20,3,2,1,0,3,0.0,3,18.0
29,4.9,13.049645,80.242268,13.079645,80.272268,17:45,17:60,1,3,2,0,3,1.0,1,14.0
28,4.6,21.170096,72.789122,21.210096,72.829122,15:50,15:55,3,3,1,3,3,0.0,1,27.0
32,4.5,0.0,0.0,0.05,0.05,17:25,17:40,3,3,0,0,3,0.0,1,26.0
29,4.9,30.885814,75.786976,30.935814,75.836976,23:55,24:05,3,2,1,3,3,0.0,3,10.0
0,,23.354422,85.3329,23.384422,85.3629,,19:15,4,3,1,0,4,0.0,1,15.0
39,4.6,21.149834,72.778666,21.239834,72.868666,19:35,19:50,4,1,0,2,3,1.0,3,28.0
32,5.0,22.725835,75.887648,22.805835,75.967648,17:50,17:55,6,3,2,3,4,1.0,1,20.0
21,4.9,17.429585,78.392621,17.489585,78.452621,17:50,17:55,6,3,2,2,2,1.0,1,23.0
27,4.7,17.451976,78.385883,17.521976,78.455883,19:20,19:30,6,1,1,0,4,1.0,1,28.0
33,4.8,26.913726,75.75282,26.963726,75.80282,17:30,17:35,3,3,2,1,4,1.0,1,27.0
29,4.7,30.899992,75.831338,30.929992,75.861338,18:55,19:05,3,3,2,0,4,1.0,1,28.0
31,4.6,12.3085,76.665808,12.3585,76.715808,23:35,23:45,4,2,0,2,3,0.0,1,22.0
35,4.6,12.979096,77.640625,12.989096,77.650625,9:30,9:45,1,2,0,2,3,1.0,3,25.0
22,4.8,0.0,0.0,0.11,0.11,17:25,17:30,3,3,0,3,3,1.0,3,23.0
23,4.6,11.024839,77.007003,11.104839,77.087003,20:45,20:50,6,1,1,1,3,1.0,3,23.0
22,4.7,11.026117,76.944652,11.106117,77.024652,19:40,19:50,3,1,2,3,4,1.0,3,26.0
21,4.8,12.934179,77.615797,12.974179,77.655797,16:25,16:40,2,3,2,0,3,1.0,1,23.0
27,4.7,12.933298,77.614293,12.993298,77.674293,18:20,18:25,2,3,2,1,2,1.0,1,21.0
27,4.8,21.175975,72.795503,21.185975,72.805503,10:10,10:25,0,2,0,0,3,1.0,1,16.0
28,4.7,21.185047,72.80859,21.245047,72.86859,23:35,23:45,0,2,0,0,3,1.0,1,24.0
37,4.9,12.939496,77.625999,12.989496,77.675999,18:25,18:30,1,3,2,2,4,,1,18.0
31,4.7,23.359407,85.325055,23.439407,85.405055,19:60,20:15,2,1,0,1,3,1.0,3,46.0
30,4.7,23.371292,85.327872,23.411292,85.367872,15:60,16:15,0,3,0,3,3,1.0,1,26.0
29,4.8,21.160437,72.774209,21.190437,72.804209,17:35,17:45,2,3,2,2,4,1.0,1,28.0
27,5.0,21.15276,72.778059,21.26276,72.888059,17:30,17:35,1,3,2,3,2,0.0,1,26.0
30,4.7,27.163303,78.057044,27.223303,78.117044,22:10,22:20,4,2,1,3,3,0.0,3,15.0
26,4.8,0.0,0.0,0.06,0.06,21:20,21:25,0,1,1,3,3,1.0,1,29.0
27,4.8,12.323225,76.630028,12.403225,76.710028,18:55,19:05,4,3,0,0,3,0.0,3,19.0
26,4.7,22.732225,75.874765,22.842225,75.984765,20:25,20:40,0,1,0,2,3,1.0,1,45.0
31,4.5,26.913726,75.75282,27.003726,75.842821,21:10,21:25,6,1,2,0,4,1.0,1,43.0
20,4.9,21.157735,72.768778,21.187735,72.798778,23:20,23:30,4,2,1,2,4,0.0,3,21.0
26,5.0,12.981615,80.231598,13.031615,80.281598,21:10,21:15,3,1,2,3,4,1.0,1,23.0
38,3.9,0.0,0.0,0.08,0.08,19:10,19:20,6,1,1,0,3,1.0,1,41.0
39,4.8,0.0,0.0,0.04,0.04,13:30,13:40,4,0,1,2,3,1.0,1,15.0
28,4.6,23.232537,77.429845,23.292537,77.489845,23:35,23:45,2,2,2,3,4,0.0,4,11.0
34,4.8,21.186608,72.794136,21.246608,72.854136,20:40,20:55,3,1,2,3,4,1.0,3,31.0
22,5.0,13.005801,80.250744,13.065801,80.310744,23:25,23:40,4,2,2,0,4,1.0,1,20.0
25,4.8,19.065838,72.832658,19.075838,72.842658,9:60,10:10,0,2,2,2,3,1.0,1,19.0
35,3.9,0.0,0.0,0.11,0.11,17:25,17:35,6,3,1,2,3,2.0,1,34.0
31,4.8,12.304569,76.643622,12.344569,76.683622,16:25,16:30,4,3,1,3,3,1.0,1,21.0
26,4.7,19.103249,72.846749,19.123249,72.866749,10:20,10:30,1,2,1,3,4,0.0,1,18.0
33,4.6,12.975377,77.696664,13.005377,77.726664,18:50,18:55,4,3,0,3,3,0.0,1,28.0
38,5.0,21.149669,72.772629,21.209669,72.832629,19:60,20:10,2,1,2,3,4,1.0,1,32.0
23,4.7,12.975377,77.696664,13.035377,77.756664,17:45,17:50,1,3,1,0,3,1.0,3,12.0
23,4.7,11.010375,76.95295,11.020375,76.96295,10:25,10:40,2,2,1,0,4,1.0,3,12.0
36,4.9,23.374989,85.335486,23.414989,85.375486,16:15,16:25,6,3,0,0,3,2.0,3,34.0
36,4.9,23.359407,85.325055,23.439407,85.405055,22:55,23:10,1,2,2,2,2,1.0,1,29.0
25,4.8,23.333017,85.3172,23.423017,85.4072,18:60,19:15,2,3,1,0,4,0.0,1,24.0
24,5.0,23.39925,85.390464,23.50925,85.500464,17:15,17:20,0,3,0,3,3,1.0,1,44.0
34,4.4,17.410371,78.437225,17.520371,78.547225,19:60,20:05,6,1,1,3,4,0.0,1,44.0
22,4.7,26.913726,75.75282,26.973726,75.812821,21:15,21:30,3,1,2,2,4,0.0,1,20.0
37,4.8,23.351489,85.324253,23.381489,85.354253,22:15,22:20,4,2,1,2,3,1.0,1,12.0
21,4.9,30.914057,75.83982,30.944057,75.86982,18:55,19:10,4,3,1,3,4,1.0,1,19.0
20,4.9,12.316967,76.603067,12.426967,76.713067,21:45,21:55,1,1,1,3,4,1.0,1,33.0
0,,22.307898,73.167788,22.327898,73.187788,9:30,9:45,6,2,0,2,3,1.0,1,24.0
37,4.9,22.310237,73.158921,22.340237,73.188921,21:30,21:40,4,1,0,1,3,0.0,3,23.0
28,4.9,26.892312,75.806896,26.912312,75.826896,8:15,8:30,4,2,1,2,4,1.0,1,17.0
38,4.7,18.536718,73.830327,18.556718,73.850327,10:25,10:40,4,2,0,2,3,1.0,1,20.0
26,4.8,22.311603,73.165012,22.331603,73.185012,8:30,8:35,3,2,2,3,4,0.0,1,18.0
25,4.8,13.045479,80.23311,13.105479,80.29311,22:40,22:50,0,2,0,0,3,1.0,1,21.0
20,4.7,0.0,0.0,0.05,0.05,18:25,18:40,1,3,2,1,3,0.0,1,16.0
20,4.7,17.458998,78.500366,17.498998,78.540366,15:30,15:45,4,3,2,2,4,1.0,1,10.0
25,4.7,17.41233,78.449654,17.47233,78.509654,18:60,19:05,4,3,0,3,3,1.0,1,15.0
28,4.9,17.455894,78.375467,17.475894,78.395467,10:20,10:30,4,2,0,1,3,0.0,1,14.0
30,4.9,0.0,0.0,0.06,0.06,21:10,21:15,1,1,2,0,4,1.0,1,30.0
0,,26.481547,80.299775,26.551547,80.369775,,19:35,2,1,1,1,4,1.0,1,38.0
24,4.9,26.849596,75.800512,26.989596,75.940512,22:45,22:55,1,2,0,3,3,0.0,3,23.0
35,5.0,11.003669,76.976494,11.063669,77.036494,19:55,20:10,0,1,0,2,3,1.0,1,33.0
21,4.5,19.178321,72.834715,19.258321,72.914715,17:45,17:50,1,3,0,0,3,1.0,1,36.0
32,4.8,21.170798,72.790489,21.250798,72.870489,20:15,20:20,4,1,2,0,4,1.0,1,15.0
24,4.1,11.026117,76.944652,11.046117,76.964652,10:15,10:25,3,2,0,2,3,,1,16.0
20,4.8,11.003008,76.97544,11.083009,77.05544,22:30,22:35,0,2,2,2,4,1.0,1,27.0
27,4.0,12.986047,80.218114,13.026047,80.258114,13:30,13:40,6,0,0,1,3,1.0,1,33.0
23,4.8,18.592718,73.773572,18.672718,73.853572,21:50,21:55,2,1,2,2,2,1.0,3,21.0
20,4.8,0.0,0.0,0.03,0.03,18:20,18:25,4,3,0,0,3,1.0,1,21.0
32,4.0,21.186608,72.794136,21.226608,72.834136,15:50,15:55,2,3,1,3,3,2.0,1,32.0
28,4.9,18.593481,73.785901,18.723481,73.915901,17:20,17:30,3,3,2,3,4,1.0,3,29.0
25,4.2,18.539299,73.897902,18.629299,73.987902,20:45,20:50,2,1,0,2,3,1.0,1,35.0
31,3.4,11.001753,76.986241,11.091753,77.076241,23:45,23:50,4,2,0,2,3,1.0,3,31.0
20,5.0,23.354422,85.3329,23.444422,85.4229,21:60,22:05,1,1,1,1,4,1.0,1,41.0
38,4.7,11.003669,76.976494,11.053669,77.026494,17:60,18:10,4,3,0,0,3,1.0,1,21.0
31,4.8,12.975377,77.696664,13.025377,77.746664,22:15,22:25,2,2,1,3,4,0.0,1,24.0
36,4.8,26.766536,75.837333,26.896536,75.967333,18:15,18:20,2,3,0,0,3,1.0,1,36.0
30,4.7,21.170798,72.790489,21.280798,72.900489,22:25,22:30,6,2,0,1,3,1.0,1,24.0
32,4.9,0.0,0.0,0.08,0.08,17:50,17:60,0,3,0,2,3,3.0,3,48.0
24,4.1,19.103249,72.846749,19.233249,72.976749,20:35,20:50,0,1,2,0,2,1.0,1,39.0
28,4.8,11.006686,76.951736,11.016686,76.961736,9:35,9:50,6,2,1,3,4,1.0,1,18.0
26,4.6,19.876219,75.346017,19.886219,75.356017,11:30,11:35,1,0,1,0,3,0.0,1,22.0
23,4.7,25.443994,81.860187,25.573994,81.990187,21:30,21:45,1,1,1,0,3,1.0,1,33.0
28,4.8,21.173493,72.801953,21.263493,72.891953,19:50,20:05,3,1,1,0,4,0.0,1,19.0
35,4.8,12.975377,77.696664,13.025377,77.746664,23:55,24:10,0,2,2,0,3,1.0,1,18.0
30,5.0,13.005801,80.250744,13.055801,80.300744,21:30,21:35,6,1,2,3,3,1.0,1,25.0
34,5.0,17.455894,78.375467,17.465894,78.385467,11:35,11:40,2,0,0,3,3,1.0,1,33.0
27,4.4,26.921411,75.793604,27.061411,75.933604,17:35,17:45,0,3,1,3,4,1.0,1,32.0
29,4.6,18.543626,73.905101,18.603626,73.965101,20:35,20:50,6,1,1,3,3,1.0,1,20.0
0,,23.333017,85.3172,23.393017,85.3772,,24:10,7,5,2,2,3,1.0,3,12.0
37,4.6,26.463504,80.372929,26.513504,80.422929,19:20,19:35,4,1,0,0,3,1.0,1,24.0
36,5.0,21.157729,72.768726,21.267729,72.878726,21:30,21:35,1,1,2,1,3,1.0,1,44.0
31,4.4,12.316967,76.603067,12.406967,76.693067,18:20,18:25,0,3,1,3,4,1.0,1,44.0
30,4.8,22.310526,73.170937,22.380526,73.240937,23:60,24:15,3,2,0,1,3,1.0,1,20.0
24,4.3,22.32,73.17,22.39,73.24,19:15,19:25,1,1,1,3,3,1.0,1,34.0
39,4.6,22.751857,75.866699,22.781857,75.896699,22:60,23:05,0,2,2,0,4,1.0,1,16.0
25,4.9,0.0,0.0,0.06,0.06,21:60,22:15,2,1,0,0,3,1.0,3,25.0
37,4.3,12.352058,76.60665,12.392058,76.64665,13:40,13:45,1,0,1,1,4,0.0,3,36.0
31,5.0,22.751857,75.866699,22.831857,75.946699,18:15,18:20,2,3,0,3,3,1.0,1,32.0
22,4.8,23.416792,85.316842,23.486792,85.386842,19:30,19:35,3,1,1,1,4,1.0,1,28.0
22,4.9,0.0,0.0,0.06,0.06,19:50,19:55,2,1,2,0,2,1.0,3,22.0
34,3.5,12.979096,77.640625,13.089096,77.750625,17:15,17:20,2,3,1,2,4,1.0,1,38.0
27,4.9,22.539129,88.365507,22.619129,88.445507,17:20,17:25,1,3,1,3,4,0.0,1,26.0
34,4.1,9.988483,76.295211,10.098483,76.405211,20:10,20:25,1,1,2,0,2,0.0,1,48.0
24,4.6,23.371292,85.327872,23.401292,85.357872,22:35,22:45,4,2,0,3,3,1.0,1,19.0
29,4.6,13.091809,80.219104,13.111809,80.239104,11:55,12:05,6,0,0,1,3,1.0,1,22.0
25,4.9,30.893081,75.821495,31.033081,75.961495,18:15,18:20,1,3,1,2,3,1.0,1,31.0
36,4.4,18.546258,73.904337,18.626258,73.984337,21:25,21:40,2,1,0,0,3,1.0,3,51.0
24,4.5,0.0,0.0,0.11,0.11,18:55,19:05,0,3,2,2,3,1.0,3,30.0
33,4.7,21.183434,72.814492,21.193434,72.824492,10:40,10:45,3,2,1,2,4,1.0,4,24.0
22,4.8,17.411028,78.329645,17.421028,78.339645,11:10,11:15,1,0,1,0,3,0.0,1,22.0
20,4.9,12.906229,77.596791,12.936229,77.626791,20:50,21:05,3,1,0,0,3,0.0,1,19.0
37,4.3,26.956431,75.776649,27.026431,75.846649,22:35,22:40,1,2,0,2,3,2.0,1,43.0
22,4.7,11.016298,76.972076,11.046298,77.002076,17:35,17:40,0,3,1,3,4,1.0,1,12.0
25,4.5,30.895204,75.822103,31.025204,75.952103,21:35,21:50,3,1,1,1,4,0.0,1,19.0
38,4.7,27.163303,78.057044,27.233303,78.127044,22:45,22:50,6,2,1,0,3,1.0,3,28.0
29,4.2,22.744648,75.894377,22.764648,75.914377,10:10,10:25,6,2,0,0,3,1.0,1,21.0
20,4.9,13.049645,80.242268,13.099645,80.292268,21:30,21:45,1,1,2,0,3,0.0,3,21.0
21,4.7,18.543626,73.905101,18.573626,73.935101,20:20,20:25,4,1,2,1,4,0.0,1,13.0
27,4.7,12.304569,76.643622,12.314569,76.653622,8:40,8:45,1,2,2,1,2,1.0,1,14.0
35,4.8,12.323194,76.630583,12.393194,76.700583,23:40,23:50,6,2,0,1,3,1.0,1,28.0
35,4.9,13.044694,80.26147,13.104694,80.32147,23:10,23:25,4,2,1,3,3,0.0,3,18.0
23,5.0,12.972161,77.596014,13.082161,77.706014,17:45,17:60,3,3,2,0,4,1.0,1,26.0
30,4.8,10.035573,76.336958,10.145573,76.446958,22:40,22:45,4,2,1,1,3,1.0,3,28.0
28,4.6,19.875522,75.367127,19.935522,75.427127,21:40,21:50,1,1,2,2,4,1.0,3,28.0
31,4.0,12.352058,76.60665,12.462058,76.71665,19:45,19:55,0,1,2,0,3,1.0,1,40.0
32,4.8,12.337978,76.616792,12.447978,76.726792,23:35,23:40,2,2,0,2,3,0.0,1,20.0
34,4.6,22.310237,73.158921,22.360237,73.208921,20:55,21:10,1,1,2,0,2,1.0,1,33.0
37,4.9,11.025083,77.015393,11.155083,77.145393,22:15,22:30,2,2,1,0,4,0.0,1,25.0
39,5.0,22.514585,88.39331,22.544585,88.42331,22:60,23:05,1,2,0,0,3,0.0,1,28.0
35,4.8,23.355164,85.324097,23.375164,85.344097,8:45,8:50,0,2,0,0,3,1.0,1,27.0
33,4.7,22.75004,75.902847,22.81004,75.962847,17:45,17:50,1,3,2,3,3,0.0,1,17.0
33,4.4,21.186438,72.794115,21.256438,72.864115,20:15,20:30,2,1,0,2,3,1.0,1,43.0
32,4.9,17.431477,78.40035,17.511477,78.48035,22:30,22:35,6,2,0,2,3,1.0,1,25.0
33,4.8,18.636215,73.751081,18.766215,73.881081,20:20,20:35,0,1,1,1,4,2.0,3,44.0
37,4.8,25.45235,81.841889,25.48235,81.871889,17:60,18:15,0,3,0,3,3,1.0,1,32.0
27,4.7,0.0,0.0,0.11,0.11,21:50,22:05,1,1,2,2,4,1.0,1,41.0
24,4.8,19.22384,72.841347,19.31384,72.931347,21:35,21:50,4,1,2,2,4,1.0,3,18.0
34,4.6,12.970221,77.645396,13.010221,77.685396,14:10,14:15,2,0,0,3,3,1.0,1,36.0
21,4.4,12.337978,76.616792,12.417978,76.696792,20:40,20:55,6,1,0,3,3,1.0,1,38.0
27,4.7,26.90519,75.810753,26.93519,75.840753,19:35,19:40,0,1,1,1,3,0.0,3,34.0
35,5.0,21.175975,72.795503,21.305975,72.925503,23:15,23:30,2,2,2,3,4,1.0,1,16.0
35,4.4,17.422819,78.449578,17.492819,78.519578,21:10,21:25,2,1,1,0,3,1.0,1,32.0
31,4.1,19.1093,72.825451,19.1293,72.845451,9:45,9:50,2,2,0,2,3,1.0,3,32.0
34,4.7,13.027018,80.254791,13.107018,80.334791,18:45,18:50,2,3,2,3,2,1.0,1,30.0
21,4.5,21.173493,72.801953,21.203493,72.831953,19:10,19:15,4,1,2,2,2,0.0,3,14.0
29,4.7,21.186438,72.794115,21.246438,72.854115,23:10,23:20,4,2,1,1,3,1.0,1,15.0
30,4.7,22.311603,73.165012,22.351603,73.205012,16:45,16:60,0,3,1,3,4,1.0,4,15.0
30,4.8,15.506205,73.766668,15.546205,73.806668,14:50,14:60,4,0,2,2,4,1.0,1,21.0
35,4.4,13.022394,80.242439,13.042394,80.262439,8:35,8:50,2,2,0,0,3,1.0,1,26.0
32,4.4,22.751857,75.866699,22.861857,75.976699,22:60,23:15,1,2,0,3,3,1.0,3,41.0
27,5.0,12.979096,77.640625,12.989096,77.650625,10:15,10:25,0,2,2,3,4,,3,10.0
21,4.6,0.0,0.0,0.05,0.05,19:50,19:55,2,1,0,0,3,1.0,1,27.0
39,4.7,19.055831,72.833984,19.095831,72.873984,14:40,14:45,4,0,2,1,3,0.0,1,23.0
33,4.8,26.892312,75.806896,26.942312,75.856896,19:45,19:60,1,1,0,0,3,1.0,1,31.0
37,4.3,13.026286,80.275235,13.086286,80.335235,20:35,20:50,3,1,0,2,3,1.0,1,46.0
35,4.9,22.651847,75.881991,22.661847,75.891991,8:35,8:40,0,2,0,2,3,1.0,1,25.0
24,4.9,18.539299,73.897902,18.619299,73.977902,19:60,20:15,2,1,1,1,3,0.0,1,27.0
27,4.5,21.157729,72.768726,21.207729,72.818726,17:25,17:30,2,3,1,1,3,0.0,3,21.0
35,4.6,22.310329,73.169083,22.400329,73.259083,22:40,22:55,4,2,2,0,3,1.0,1,17.0
0,,12.98041,77.640489,13.06041,77.720489,,20:40,4,1,0,2,3,1.0,1,31.0
25,4.6,12.297954,76.665169,12.427954,76.795169,18:60,19:10,1,3,1,1,4,0.0,3,25.0
0,,18.516216,73.842527,18.646216,73.972527,,18:30,7,5,1,1,3,1.0,1,21.0
37,3.5,18.563934,73.915367,18.693935,74.045367,23:25,23:35,0,2,1,0,4,1.0,1,35.0
21,4.9,26.90519,75.810753,26.98519,75.890753,22:15,22:20,0,2,0,0,3,1.0,3,20.0
34,4.2,0.0,0.0,0.04,0.04,12:15,12:20,1,0,2,2,2,0.0,1,37.0
31,4.6,23.354422,85.3329,23.404422,85.3829,18:15,18:25,4,3,0,1,3,1.0,1,21.0
35,4.5,12.334022,76.618203,12.384022,76.668203,23:20,23:30,0,2,1,3,4,1.0,1,15.0
20,4.8,23.359407,85.325055,23.469407,85.435055,18:50,18:60,1,3,0,3,3,1.0,1,35.0
20,4.5,17.41233,78.449654,17.49233,78.529654,18:50,18:60,0,3,0,2,3,1.0,3,38.0
23,4.6,23.351489,85.324253,23.421489,85.394253,21:55,21:60,6,1,0,1,3,1.0,1,34.0
33,4.0,11.022169,76.999594,11.152169,77.129594,20:45,20:50,6,1,0,2,3,1.0,1,51.0
39,4.8,22.310526,73.170937,22.350526,73.210937,13:45,13:50,0,0,1,1,4,1.0,3,30.0
36,4.9,12.297954,76.665169,12.407954,76.775169,21:10,21:15,2,1,1,1,4,0.0,1,25.0
36,4.6,19.003517,72.82765,19.113517,72.93765,22:35,22:50,2,2,0,2,3,0.0,1,23.0
30,4.5,17.458998,78.500366,17.568998,78.610366,19:15,19:25,4,1,1,3,3,1.0,1,21.0
23,4.9,30.366322,78.070453,30.396322,78.100453,19:10,19:15,0,1,1,0,4,0.0,1,26.0
34,4.7,18.530963,73.828972,18.600963,73.898972,23:15,23:30,1,2,0,1,3,1.0,1,39.0
24,4.8,22.31279,73.170283,22.44279,73.300283,21:10,21:15,1,1,0,1,3,2.0,3,47.0
38,4.6,21.149669,72.772629,21.199669,72.822629,23:20,23:25,2,2,2,2,4,1.0,1,28.0
24,4.7,11.003008,76.97544,11.053009,77.02544,22:35,22:40,0,2,1,0,4,1.0,1,18.0
24,4.5,22.32,73.17,22.33,73.18,9:25,9:40,0,2,0,0,3,,1,19.0
27,4.8,12.975996,80.221898,13.065996,80.311898,20:50,20:55,4,1,0,2,3,1.0,1,20.0
31,4.6,18.994049,72.825203,19.034049,72.865203,14:20,14:30,6,0,1,1,4,1.0,1,30.0
30,4.6,19.22384,72.841347,19.26384,72.881347,16:35,16:45,0,3,0,1,3,1.0,1,26.0
34,4.9,12.316967,76.603067,12.366967,76.653067,23:60,24:15,4,2,2,1,2,1.0,1,11.0
31,4.5,26.766536,75.837333,26.856536,75.927333,20:20,20:30,3,1,2,0,3,1.0,3,29.0
28,4.9,19.207222,72.972281,19.287222,73.052281,17:20,17:25,4,3,0,2,3,1.0,3,17.0
34,4.9,13.081878,80.248519,13.211878,80.378519,18:40,18:50,3,3,1,1,4,0.0,1,23.0
22,4.7,18.636215,73.751081,18.696215,73.811081,21:40,21:50,0,1,1,2,4,0.0,1,31.0
30,4.8,21.15276,72.778059,21.28276,72.908059,22:45,22:60,0,2,1,3,4,1.0,1,27.0
36,4.3,22.732225,75.874765,22.772225,75.914765,14:60,15:15,0,0,2,0,3,2.0,3,39.0
35,4.6,26.902328,75.794257,26.962328,75.854257,19:50,19:55,4,1,0,1,3,1.0,1,26.0
38,3.9,0.0,0.0,0.07,0.07,23:55,23:60,1,2,2,3,3,1.0,1,39.0
30,4.7,22.514585,88.39331,22.544585,88.42331,17:45,17:60,6,3,0,2,3,1.0,1,25.0
0,,12.913041,77.683237,12.953041,77.723237,,14:50,2,0,2,1,4,1.0,1,32.0
33,3.6,18.592718,73.773572,18.722718,73.903572,23:50,24:05,1,2,1,3,4,1.0,3,36.0
31,5.0,12.321214,76.621094,12.431214,76.731094,20:20,20:30,6,1,2,1,3,1.0,1,29.0
31,4.9,18.592718,73.773572,18.682718,73.863572,17:55,17:60,4,3,1,3,3,1.0,4,20.0
27,4.6,18.994049,72.825203,19.034049,72.865203,12:10,12:15,0,0,1,3,4,1.0,1,20.0
23,4.8,26.766536,75.837333,26.786536,75.857333,11:40,11:45,1,0,2,3,4,0.0,1,34.0
25,4.8,19.875337,75.316722,19.905337,75.346722,19:40,19:45,6,1,2,1,2,1.0,1,23.0
37,4.5,0.0,0.0,0.09,0.09,20:35,20:50,6,1,1,0,4,3.0,1,44.0
28,4.6,23.374989,85.335486,23.394989,85.355486,10:25,10:35,2,2,1,0,3,0.0,1,18.0
34,4.7,22.753839,75.897429,22.803839,75.947429,21:25,21:35,3,1,1,0,3,1.0,3,33.0
20,4.7,23.416792,85.316842,23.486792,85.386842,23:30,23:40,1,2,2,3,2,1.0,1,28.0
39,4.9,12.334022,76.618203,12.464022,76.748203,17:20,17:35,4,3,0,2,3,0.0,1,38.0
23,4.1,22.547186,88.35068,22.637186,88.44068,21:20,21:30,0,1,2,3,2,0.0,4,36.0
38,4.4,13.086438,80.220672,13.176438,80.310672,20:55,21:10,6,1,1,2,3,1.0,3,32.0
31,3.7,11.024839,77.007003,11.134839,77.117003,18:15,18:30,3,3,1,3,4,1.0,1,34.0
36,4.3,25.459775,81.834841,25.589775,81.964841,20:45,20:50,6,1,0,2,3,1.0,1,35.0
30,4.1,22.514688,88.393294,22.544688,88.423294,20:30,20:35,0,1,1,1,4,1.0,3,34.0
20,4.5,30.899584,75.809346,30.979584,75.889346,20:35,20:40,2,1,2,0,4,0.0,3,16.0
31,4.7,22.310526,73.170937,22.360526,73.220937,21:25,21:40,2,1,2,0,3,1.0,1,25.0
33,4.4,22.307898,73.167788,22.317898,73.177788,11:45,11:50,1,0,0,2,3,1.0,3,32.0
