DeliveryPersonAge,DeliveryPersonRatings,TimeOrdered,TimeOrderPickedUp,Sunny,Fog,Windy,Stormy,Sandstorms,Low,Medium,Jam,VehicleCondition,Snack,Drinks,Meal,Scooter,Motorcycle,MultipleDeliveries,Semi-Urban,Urban,Distance(km)
28,4.8,17.25,17.35,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0.0,0,0,4.544228016639666
33,4.5,17.45,17.55,0,0,0,1,0,0,1,0,2,1,0,0,0,1,1.0,0,0,20.180635114114715
30,4.8,22.2,22.35,0,0,0,1,0,1,0,0,2,1,0,0,1,0,1.0,0,1,14.0219570899938
27,5.0,17.55,18.05,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1.0,0,0,7.66101794664148
30,3.2,23.55,23.6,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1.0,0,0,13.989584724635527
28,4.8,10.6,11.15,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1.0,0,0,1.529743511582863
36,4.8,21.25,21.4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3.0,0,0,10.71321076429732
38,4.6,23.55,23.6,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0.0,0,0,9.193469879776632
29,4.9,19.45,19.6,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1.0,0,1,13.583068670275285
33,4.5,17.5,18.05,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1.0,0,0,7.761486237714824
26,4.8,22.45,22.5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1.0,0,0,13.583267699065033
23,4.7,14.6,15.15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,1,5.992164712760221
27,4.2,19.3,19.4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1.0,0,0,19.688553005364493
36,4.8,18.2,18.35,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1.0,0,1,4.46931202175492
25,5.0,19.55,19.6,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1.0,0,1,9.17860595704086
22,4.6,23.25,23.35,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0.0,0,0,7.60136893811491
32,4.9,22.6,23.1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0.0,0,1,19.916122613819716
